video_id,start_ms,end_ms,center_ms,guard_height
testvideo,16360,16610,16485,-0.0763193741440773
testvideo,16400,16650,16525,-0.07475202158093452
testvideo,16440,16690,16565,-0.06092713959515095
testvideo,16480,16730,16605,-0.036473133734294345
testvideo,16520,16770,16645,-0.014532598001616338
testvideo,16560,16810,16685,0.014450469985604297
testvideo,16600,16850,16725,0.03267416544258596
testvideo,16640,16890,16765,0.045884428545832655
testvideo,16680,16930,16805,0.0572884295667921
testvideo,16720,16970,16845,0.04588863466467179
testvideo,16760,17010,16885,0.03534936053412302
testvideo,16800,17050,16925,0.01597413420677186
testvideo,16840,17090,16965,0.002438995987176888
testvideo,16880,17130,17005,-0.017619367156709958
testvideo,16920,17170,17045,-0.026333476815904904
testvideo,16960,17210,17085,-0.029921748808452078
testvideo,17000,17250,17125,-0.033099807798862464
testvideo,17040,17290,17165,-0.03376303613185884
testvideo,17080,17330,17205,-0.030934721231460578
testvideo,17120,17370,17245,-0.027931217636380883
testvideo,17160,17410,17285,-0.024641603231430054
testvideo,17200,17450,17325,-0.01834562048316002
testvideo,17240,17490,17365,-0.014837566763162606
testvideo,17280,17530,17405,-0.012076705694198595
testvideo,17320,17570,17445,-0.007970477853502531
testvideo,17360,17610,17485,-0.006210118532180778
testvideo,17400,17650,17525,-0.007577285170555115
testvideo,17440,17690,17565,-0.010470733046531684
testvideo,17480,17730,17605,-0.015088651329278946
testvideo,17520,17770,17645,-0.023818186351231174
testvideo,17560,17810,17685,-0.03269774147442409
testvideo,17600,17850,17725,-0.04158489193235123
testvideo,17640,17890,17765,-0.05205921828746796
testvideo,17680,17930,17805,-0.058197084814310074
testvideo,17720,17970,17845,-0.06680089235305788
testvideo,17760,18010,17885,-0.06942303691591536
testvideo,17800,18050,17925,-0.06965725336756026
testvideo,17840,18090,17965,-0.07005338370800021
testvideo,17880,18130,18005,-0.0701340697705746
testvideo,17920,18170,18045,-0.07118660637310574
testvideo,17960,18210,18085,-0.07240005476134163
testvideo,18000,18250,18125,-0.0738219363348825
testvideo,18040,18290,18165,-0.07680225372314453
testvideo,18080,18330,18205,-0.07858618721365929
testvideo,18120,18370,18245,-0.08053305745124817
testvideo,18160,18410,18285,-0.08046819056783404
testvideo,18200,18450,18325,-0.07938169155802045
testvideo,18240,18490,18365,-0.07729729637503621
testvideo,18280,18530,18405,-0.07607214152812955
testvideo,18320,18570,18445,-0.07474946603178975
testvideo,18360,18610,18485,-0.07256269029208588
testvideo,18400,18650,18525,-0.07251925979341776
testvideo,18440,18690,18565,-0.06826444715261457
testvideo,18480,18730,18605,-0.06279051676392552
testvideo,18520,18770,18645,-0.05658460408449172
testvideo,18560,18810,18685,-0.04826398832457407
testvideo,18600,18850,18725,-0.04302745206015452
testvideo,18640,18890,18765,-0.03838493781430382
testvideo,18680,18930,18805,-0.03679096512496472
testvideo,18720,18970,18845,-0.03691820614039899
testvideo,18760,19010,18885,-0.04213574741567886
testvideo,18800,19050,18925,-0.04569897694247112
testvideo,18840,19090,18965,-0.04983679950237276
testvideo,18880,19130,19005,-0.05672322958707811
testvideo,18920,19170,19045,-0.061093427240848555
testvideo,18960,19210,19085,-0.06812132256371636
testvideo,19000,19250,19125,-0.07237007788249425
testvideo,19040,19290,19165,-0.07581893886838639
testvideo,19080,19330,19205,-0.07633111998438832
testvideo,19120,19370,19245,-0.07614028453826902
testvideo,19160,19410,19285,-0.07447360668863567
testvideo,19200,19450,19325,-0.07271063753536768
testvideo,19240,19490,19365,-0.07062593102455139
testvideo,19280,19530,19405,-0.06722050532698631
testvideo,19320,19570,19445,-0.0648726671934128
testvideo,19360,19610,19485,-0.06248946487903597
testvideo,19400,19650,19525,-0.058330829654421136
testvideo,19440,19690,19565,-0.05531697613852366
testvideo,19480,19730,19605,-0.052127987146377563
testvideo,19520,19770,19645,-0.050010614097118364
testvideo,19560,19810,19685,-0.049214266240596764
testvideo,19600,19850,19725,-0.05013869064194814
testvideo,19640,19890,19765,-0.052731228726250766
testvideo,19680,19930,19805,-0.05568104130881172
testvideo,19720,19970,19845,-0.06023465096950531
testvideo,19760,20010,19885,-0.06443784385919571
testvideo,19800,20050,19925,-0.07061944689069477
testvideo,19840,20090,19965,-0.07227709037917004
testvideo,19880,20130,20005,-0.07359510234424048
testvideo,19920,20170,20045,-0.07349370792508125
testvideo,19960,20210,20085,-0.07344876602292061
testvideo,20000,20250,20125,-0.07183316775730678
testvideo,20040,20290,20165,-0.0705069899559021
testvideo,20080,20330,20205,-0.07018136552401952
testvideo,20120,20370,20245,-0.07102593407034874
testvideo,20160,20410,20285,-0.07147518545389175
testvideo,20200,20450,20325,-0.07171797752380371
testvideo,20240,20490,20365,-0.07273477741650172
testvideo,20280,20530,20405,-0.07264203258923121
testvideo,20320,20570,20445,-0.07087752595543861
testvideo,20360,20610,20485,-0.0686471275985241
testvideo,20400,20650,20525,-0.06535076722502708
testvideo,20440,20690,20565,-0.06072752816336495
testvideo,20480,20730,20605,-0.05614173838070459
testvideo,20520,20770,20645,-0.048382058739662163
testvideo,20560,20810,20685,-0.043045312166213975
testvideo,20600,20850,20725,-0.03846573457121849
testvideo,20640,20890,20765,-0.033073025090353834
testvideo,20680,20930,20805,-0.030368864536285418
testvideo,20720,20970,20845,-0.029527268239430034
testvideo,20760,21010,20885,-0.03053170442581179
testvideo,20800,21050,20925,-0.03245564550161364
testvideo,20840,21090,20965,-0.03672839062554497
testvideo,20880,21130,21005,-0.04174014925956727
testvideo,20920,21170,21045,-0.048351773193904324
testvideo,20960,21210,21085,-0.05213040113449097
testvideo,21000,21250,21125,-0.05456464365124701
testvideo,21040,21290,21165,-0.05495905024664741
testvideo,21080,21330,21205,-0.045230094875608154
testvideo,21120,21370,21245,-0.032781392335891696
testvideo,21160,21410,21285,-0.008587341755628562
testvideo,21200,21450,21325,0.0024327337741852154
testvideo,21240,21490,21365,0.010032746940851264
testvideo,21280,21530,21405,0.023863383701869478
testvideo,21320,21570,21445,0.020715679441179604
testvideo,21360,21610,21485,0.009141974151134529
testvideo,21400,21650,21525,-0.008616462349891635
testvideo,21440,21690,21565,-0.02261934801936146
testvideo,21480,21730,21605,-0.04265412688255309
testvideo,21520,21770,21645,-0.05478107929229735
testvideo,21560,21810,21685,-0.06835009530186653
testvideo,21600,21850,21725,-0.07667339593172073
testvideo,21640,21890,21765,-0.08122669160366058
testvideo,21680,21930,21805,-0.07771176525524684
testvideo,21720,21970,21845,-0.07374188729694911
testvideo,21760,22010,21885,-0.06930089848382133
testvideo,21800,22050,21925,-0.05965485051274301
testvideo,21840,22090,21965,-0.05216574668884279
testvideo,21880,22130,22005,-0.04120997445923943
testvideo,21920,22170,22045,-0.033052853175571995
testvideo,21960,22210,22085,-0.02698607104165215
testvideo,22000,22250,22125,-0.020588714629411697
testvideo,22040,22290,22165,-0.01844273880124092
testvideo,22080,22330,22205,-0.014958586011614103
testvideo,22120,22370,22245,-0.0134144297667912
testvideo,22160,22410,22285,-0.014668592384883336
testvideo,22200,22450,22325,-0.01680272072553634
testvideo,22240,22490,22365,-0.01850371807813645
testvideo,22280,22530,22405,-0.02045579627156259
testvideo,22320,22570,22445,-0.022440199341092815
testvideo,22360,22610,22485,-0.02718710473605567
