video_id,start_ms,end_ms,center_ms,movement
testvideo,46160,46410,46285,0.10809419960420473
testvideo,46200,46450,46325,0.14430472194007454
testvideo,46240,46490,46365,0.22195443893060599
testvideo,46280,46530,46405,0.27953524368450994
testvideo,46320,46570,46445,0.337936293886355
testvideo,46360,46610,46485,0.2978191372365583
testvideo,46400,46650,46525,0.2866238394051352
testvideo,46440,46690,46565,0.2317586699994574
testvideo,46480,46730,46605,0.1764278053941706
testvideo,46520,46770,46645,0.1281817922730949
testvideo,46560,46810,46685,0.08806638009097667
testvideo,46600,46850,46725,0.07069432514133836
testvideo,46640,46890,46765,0.042046171927422
testvideo,46680,46930,46805,0.02592458547169275
testvideo,46720,46970,46845,0.01547867857066531
testvideo,46760,47010,46885,0.03200938418642634
testvideo,46800,47050,46925,0.0443508907944107
testvideo,46840,47090,46965,0.05947874812604143
testvideo,46880,47130,47005,0.09739218569880276
testvideo,46920,47170,47045,0.12852845498341683
testvideo,46960,47210,47085,0.1440856833530502
testvideo,47000,47250,47125,0.12519422428434354
testvideo,47040,47290,47165,0.11070484685245163
testvideo,47080,47330,47205,0.08208033351599246
testvideo,47120,47370,47245,0.050995823382162464
testvideo,47160,47410,47285,0.03363661745293224
testvideo,47200,47450,47325,0.023463862560189636
testvideo,47240,47490,47365,0.02964600691017743
testvideo,47280,47530,47405,0.04153234919298741
testvideo,47320,47570,47445,0.044848461363964254
testvideo,47360,47610,47485,0.0538049009550034
testvideo,47400,47650,47525,0.05039499843949141
testvideo,47440,47690,47565,0.047657354293864584
testvideo,47480,47730,47605,0.03787843715651072
testvideo,47520,47770,47645,0.03848642955839185
testvideo,47560,47810,47685,0.06338700067500602
testvideo,47600,47850,47725,0.11615493098936111
testvideo,47640,47890,47765,0.15014884070047138
testvideo,47680,47930,47805,0.21221397930763194
testvideo,47720,47970,47845,0.2949702065643142
testvideo,47760,48010,47885,0.3963297513750668
testvideo,47800,48050,47925,0.4811658491907627
testvideo,47840,48090,47965,0.5318480142334296
testvideo,47880,48130,48005,0.5621138953443466
testvideo,47920,48170,48045,0.5391783885199851
testvideo,47960,48210,48085,0.4111257891916406
testvideo,48000,48250,48125,0.31336691627037017
testvideo,48040,48290,48165,0.2117799584036637
testvideo,48080,48330,48205,0.13219390480648865
testvideo,48120,48370,48245,0.06807705667252135
testvideo,48160,48410,48285,0.07166703712696032
testvideo,48200,48450,48325,0.10238796236163739
testvideo,48240,48490,48365,0.21475259868789318
testvideo,48280,48530,48405,0.25871300336298014
testvideo,48320,48570,48445,0.39964129376729635
testvideo,48360,48610,48485,0.49175757056938973
testvideo,48400,48650,48525,0.5588175207895136
testvideo,48440,48690,48565,0.5153407484650654
testvideo,48480,48730,48605,0.4932878770484113
testvideo,48520,48770,48645,0.4575900991874112
testvideo,48560,48810,48685,0.3444728441796718
testvideo,48600,48850,48725,0.26766402992191324
testvideo,48640,48890,48765,0.20780809351793744
testvideo,48680,48930,48805,0.16223643095346346
testvideo,48720,48970,48845,0.12270903653551112
testvideo,48760,49010,48885,0.08575890461569742
testvideo,48800,49050,48925,0.05779726991937473
testvideo,48840,49090,48965,0.048029133402985195
testvideo,48880,49130,49005,0.06095146967210247
testvideo,48920,49170,49045,0.10038981778948552
testvideo,48960,49210,49085,0.14505641811732736
testvideo,49000,49250,49125,0.17220214121926056
testvideo,49040,49290,49165,0.19139023182074535
testvideo,49080,49330,49205,0.19559017820063618
testvideo,49120,49370,49245,0.17344716607400293
testvideo,49160,49410,49285,0.11528958715369958
testvideo,49200,49450,49325,0.08591778253180204
testvideo,49240,49490,49365,0.06172462426508437
testvideo,49280,49530,49405,0.049058540420630334
testvideo,49320,49570,49445,0.033397350277416395
testvideo,49360,49610,49485,0.03183599501718841
testvideo,49400,49650,49525,0.05942857546999025
testvideo,49440,49690,49565,0.12419544988824797
testvideo,49480,49730,49605,0.22147040902381718
testvideo,49520,49770,49645,0.2790847174951744
testvideo,49560,49810,49685,0.34155094677385556
testvideo,49600,49850,49725,0.435120360902243
testvideo,49640,49890,49765,0.4249660404268322
testvideo,49680,49930,49805,0.3554965153085269
testvideo,49720,49970,49845,0.3042471291899488
testvideo,49760,50010,49885,0.25569106470208924
testvideo,49800,50050,49925,0.16840999974227666
testvideo,49840,50090,49965,0.11516750002055033
testvideo,49880,50130,50005,0.08307813569479437
testvideo,49920,50170,50045,0.06754375155510521
testvideo,49960,50210,50085,0.057366777912960965
testvideo,50000,50250,50125,0.03611014105641008
testvideo,50040,50290,50165,0.04864756680000377
testvideo,50080,50330,50205,0.07655163599244386
testvideo,50120,50370,50245,0.1375006007014465
testvideo,50160,50410,50285,0.1684931598470873
testvideo,50200,50450,50325,0.22355563993369876
testvideo,50240,50490,50365,0.22928668689031886
testvideo,50280,50530,50405,0.21428028904965993
testvideo,50320,50570,50445,0.17365063812701478
testvideo,50360,50610,50485,0.1353740443850781
testvideo,50400,50650,50525,0.07672100569825176
testvideo,50440,50690,50565,0.05573268955489793
testvideo,50480,50730,50605,0.035613258146729596
testvideo,50520,50770,50645,0.024625303319516786
testvideo,50560,50810,50685,0.013046783421382152
testvideo,50600,50850,50725,0.014656367915049952
testvideo,50640,50890,50765,0.01602386318901434
testvideo,50680,50930,50805,0.01895530552687666
testvideo,50720,50970,50845,0.028488934140356043
testvideo,50760,51010,50885,0.05686512997323335
testvideo,50800,51050,50925,0.09324422816552803
testvideo,50840,51090,50965,0.14346323299630984
testvideo,50880,51130,51005,0.18489411353804894
testvideo,50920,51170,51045,0.24229131875197826
testvideo,50960,51210,51085,0.2869404305283242
testvideo,51000,51250,51125,0.34065663962978343
testvideo,51040,51290,51165,0.3841479213552271
testvideo,51080,51330,51205,0.4078620195367844
testvideo,51120,51370,51245,0.4148692122743052
testvideo,51160,51410,51285,0.4041222579587941
testvideo,51200,51450,51325,0.37539976100669614
testvideo,51240,51490,51365,0.27406990507290124
testvideo,51280,51530,51405,0.21086103892132366
testvideo,51320,51570,51445,0.1479719063373646
testvideo,51360,51610,51485,0.08995648253752804
testvideo,51400,51650,51525,0.05992972006154567
testvideo,51440,51690,51565,0.04315327497702983
testvideo,51480,51730,51605,0.07851556198232369
testvideo,51520,51770,51645,0.14180025980931155
testvideo,51560,51810,51685,0.2759349688979412
testvideo,51600,51850,51725,0.35164829654093116
testvideo,51640,51890,51765,0.4033827303543344
testvideo,51680,51930,51805,0.4763825412183624
testvideo,51720,51970,51845,0.4649316950186706
testvideo,51760,52010,51885,0.38746245812928964
testvideo,51800,52050,51925,0.34124685370010727
testvideo,51840,52090,51965,0.28363137460930143
testvideo,51880,52130,52005,0.21101985870254344
testvideo,51920,52170,52045,0.17394295144766783
testvideo,51960,52210,52085,0.12866818354590848
testvideo,52000,52250,52125,0.09149890165766716
testvideo,52040,52290,52165,0.07271319821593972
testvideo,52080,52330,52205,0.04921345470282396
testvideo,52120,52370,52245,0.04814270875045027
testvideo,52160,52410,52285,0.08809104900110398
testvideo,52200,52450,52325,0.1413884840692237
testvideo,52240,52490,52365,0.14706605834043254
testvideo,52280,52530,52405,0.1860800799333028
testvideo,52320,52570,52445,0.197782316150073
testvideo,52360,52610,52485,0.16178759387043903
testvideo,52400,52650,52525,0.1279279009720254
testvideo,52440,52690,52565,0.1175716029218046
testvideo,52480,52730,52605,0.09425937561060277
testvideo,52520,52770,52645,0.07236551176640618
testvideo,52560,52810,52685,0.06695160301675436
testvideo,52600,52850,52725,0.0523916818770522
testvideo,52640,52890,52765,0.06344647678572346
testvideo,52680,52930,52805,0.07688228981697219
testvideo,52720,52970,52845,0.12851039455377125
testvideo,52760,53010,52885,0.1815281765750637
testvideo,52800,53050,52925,0.262632845946057
testvideo,52840,53090,52965,0.2783391485080143
testvideo,52880,53130,53005,0.29283687951636317
testvideo,52920,53170,53045,0.2887367831221614
testvideo,52960,53210,53085,0.2535006746265458
testvideo,53000,53250,53125,0.19151179038808697
testvideo,53040,53290,53165,0.12467876048128401
testvideo,53080,53330,53205,0.10588436138432279
testvideo,53120,53370,53245,0.04946224520847615
testvideo,53160,53410,53285,0.03352491887603856
testvideo,53200,53450,53325,0.028516348586869286
testvideo,53240,53490,53365,0.03442873005460149
testvideo,53280,53530,53405,0.060540282096943135
testvideo,53320,53570,53445,0.10988727711126045
testvideo,53360,53610,53485,0.1359440896101776
testvideo,53400,53650,53525,0.1835323821445325
testvideo,53440,53690,53565,0.24324985375191646
testvideo,53480,53730,53605,0.2520585218614762
testvideo,53520,53770,53645,0.23964108403084136
testvideo,53560,53810,53685,0.2371115510959129
testvideo,53600,53850,53725,0.19354430697449296
testvideo,53640,53890,53765,0.1308975622161306
testvideo,53680,53930,53805,0.09675752110648925
testvideo,53720,53970,53845,0.07321309007994779
testvideo,53760,54010,53885,0.03847998226241755
testvideo,53800,54050,53925,0.03440950261761145
testvideo,53840,54090,53965,0.017789726111841295
testvideo,53880,54130,54005,0.01800651481956364
testvideo,53920,54170,54045,0.0285550350892155
testvideo,53960,54210,54085,0.05241036856880551
testvideo,54000,54250,54125,0.12663846559836617
testvideo,54040,54290,54165,0.17723028704162527
testvideo,54080,54330,54205,0.2529791533185925
testvideo,54120,54370,54245,0.2973338746417557
testvideo,54160,54410,54285,0.36184841069304347
testvideo,54200,54450,54325,0.3404996240583517
testvideo,54240,54490,54365,0.3307208185898379
testvideo,54280,54530,54405,0.2639424033396439
testvideo,54320,54570,54445,0.2285783074574106
testvideo,54360,54610,54485,0.16060274134679667
testvideo,54400,54650,54525,0.10541621080811991
testvideo,54440,54690,54565,0.06812150463170354
testvideo,54480,54730,54605,0.040719639772673344
testvideo,54520,54770,54645,0.031577515982560415
testvideo,54560,54810,54685,0.022966914925748372
testvideo,54600,54850,54725,0.023346191453212286
testvideo,54640,54890,54765,0.021681054651421266
testvideo,54680,54930,54805,0.04096913439425039
testvideo,54720,54970,54845,0.06056859132680431
testvideo,54760,55010,54885,0.08726490988788982
testvideo,54800,55050,54925,0.138000419310458
testvideo,54840,55090,54965,0.16883615785488781
testvideo,54880,55130,55005,0.1541673272736501
testvideo,54920,55170,55045,0.14796394167867438
testvideo,54960,55210,55085,0.13817462010566967
testvideo,55000,55250,55125,0.09329434416454636
testvideo,55040,55290,55165,0.06765772083571332
testvideo,55080,55330,55205,0.06305075097100693
testvideo,55120,55370,55245,0.04615260500837668
testvideo,55160,55410,55285,0.03681604493777167
testvideo,55200,55450,55325,0.03685253847738457
testvideo,55240,55490,55365,0.06320945684317432
testvideo,55280,55530,55405,0.09752919490106221
testvideo,55320,55570,55445,0.13353048832343303
testvideo,55360,55610,55485,0.15616056779662785
testvideo,55400,55650,55525,0.18033201230217957
testvideo,55440,55690,55565,0.15903991891665445
testvideo,55480,55730,55605,0.12723699889951756
testvideo,55520,55770,55645,0.10556728289451055
testvideo,55560,55810,55685,0.09134471705013754
testvideo,55600,55850,55725,0.06866674436972219
testvideo,55640,55890,55765,0.05386193810036207
testvideo,55680,55930,55805,0.04850526582857768
testvideo,55720,55970,55845,0.02882705681254913
testvideo,55760,56010,55885,0.028703836990537992
testvideo,55800,56050,55925,0.031077614936836757
testvideo,55840,56090,55965,0.05402959437476996
testvideo,55880,56130,56005,0.08334484269750421
testvideo,55920,56170,56045,0.11553103255054299
testvideo,55960,56210,56085,0.13697217558840621
testvideo,56000,56250,56125,0.15230599895800098
testvideo,56040,56290,56165,0.16640371546366753
testvideo,56080,56330,56205,0.1532063369146803
testvideo,56120,56370,56245,0.1368024207654924
testvideo,56160,56410,56285,0.10800234940457833
testvideo,56200,56450,56325,0.08655007078465983
testvideo,56240,56490,56365,0.04820753967367519
testvideo,56280,56530,56405,0.03786271117545515
testvideo,56320,56570,56445,0.03172683317868506
testvideo,56360,56610,56485,0.042547135725145256
testvideo,56400,56650,56525,0.05116232826863625
testvideo,56440,56690,56565,0.08400963683413899
testvideo,56480,56730,56605,0.11468450951195898
testvideo,56520,56770,56645,0.13569798119059703
testvideo,56560,56810,56685,0.12998177978543396
testvideo,56600,56850,56725,0.12035789968939066
