video_id,start_ms,end_ms,center_ms,punch_volume
testvideo,12960,13210,13085,0
testvideo,13000,13250,13125,0
testvideo,13040,13290,13165,0
testvideo,13080,13330,13205,0
testvideo,13120,13370,13245,0
testvideo,13160,13410,13285,0
testvideo,13200,13450,13325,0
testvideo,13240,13490,13365,0
testvideo,13280,13530,13405,0
testvideo,13320,13570,13445,0
testvideo,13360,13610,13485,0
testvideo,13400,13650,13525,0
testvideo,13440,13690,13565,0
testvideo,13480,13730,13605,0
testvideo,13520,13770,13645,0
testvideo,13560,13810,13685,0
testvideo,13600,13850,13725,0
testvideo,13640,13890,13765,0
testvideo,13680,13930,13805,0
testvideo,13720,13970,13845,0
testvideo,13760,14010,13885,0
testvideo,13800,14050,13925,0
testvideo,13840,14090,13965,0
testvideo,13880,14130,14005,0
testvideo,13920,14170,14045,0
testvideo,13960,14210,14085,0
testvideo,14000,14250,14125,0
testvideo,14040,14290,14165,0
testvideo,14080,14330,14205,0
testvideo,14120,14370,14245,0
testvideo,14160,14410,14285,0
testvideo,14200,14450,14325,0
testvideo,14240,14490,14365,0
testvideo,14280,14530,14405,0
testvideo,14320,14570,14445,0
testvideo,14360,14610,14485,0
testvideo,14400,14650,14525,0
testvideo,14440,14690,14565,0
testvideo,14480,14730,14605,0
testvideo,14520,14770,14645,0
testvideo,14560,14810,14685,0
testvideo,14600,14850,14725,0
testvideo,14640,14890,14765,1
testvideo,14680,14930,14805,1
testvideo,14720,14970,14845,1
testvideo,14760,15010,14885,1
testvideo,14800,15050,14925,1
testvideo,14840,15090,14965,1
testvideo,14880,15130,15005,1
testvideo,14920,15170,15045,1
testvideo,14960,15210,15085,1
testvideo,15000,15250,15125,1
testvideo,15040,15290,15165,1
testvideo,15080,15330,15205,1
testvideo,15120,15370,15245,1
testvideo,15160,15410,15285,1
testvideo,15200,15450,15325,0
testvideo,15240,15490,15365,0
testvideo,15280,15530,15405,0
testvideo,15320,15570,15445,0
testvideo,15360,15610,15485,0
testvideo,15400,15650,15525,0
testvideo,15440,15690,15565,0
testvideo,15480,15730,15605,0
testvideo,15520,15770,15645,0
testvideo,15560,15810,15685,0
testvideo,15600,15850,15725,0
testvideo,15640,15890,15765,0
testvideo,15680,15930,15805,0
testvideo,15720,15970,15845,0
testvideo,15760,16010,15885,0
testvideo,15800,16050,15925,0
testvideo,15840,16090,15965,0
testvideo,15880,16130,16005,0
testvideo,15920,16170,16045,0
testvideo,15960,16210,16085,0
testvideo,16000,16250,16125,0
testvideo,16040,16290,16165,0
testvideo,16080,16330,16205,0
testvideo,16120,16370,16245,0
testvideo,16160,16410,16285,0
testvideo,16200,16450,16325,0
testvideo,16240,16490,16365,0
testvideo,16280,16530,16405,0
testvideo,16320,16570,16445,0
testvideo,16360,16610,16485,0
testvideo,16400,16650,16525,0
testvideo,16440,16690,16565,0
testvideo,16480,16730,16605,0
testvideo,16520,16770,16645,0
testvideo,16560,16810,16685,0
testvideo,16600,16850,16725,0
testvideo,16640,16890,16765,1
testvideo,16680,16930,16805,1
testvideo,16720,16970,16845,1
testvideo,16760,17010,16885,1
testvideo,16800,17050,16925,1
testvideo,16840,17090,16965,1
testvideo,16880,17130,17005,1
testvideo,16920,17170,17045,1
testvideo,16960,17210,17085,1
testvideo,17000,17250,17125,1
testvideo,17040,17290,17165,1
testvideo,17080,17330,17205,1
testvideo,17120,17370,17245,1
testvideo,17160,17410,17285,1
testvideo,17200,17450,17325,1
testvideo,17240,17490,17365,1
testvideo,17280,17530,17405,1
testvideo,17320,17570,17445,1
testvideo,17360,17610,17485,1
testvideo,17400,17650,17525,1
testvideo,17440,17690,17565,1
testvideo,17480,17730,17605,1
testvideo,17520,17770,17645,1
testvideo,17560,17810,17685,1
testvideo,17600,17850,17725,1
testvideo,17640,17890,17765,1
testvideo,17680,17930,17805,1
testvideo,17720,17970,17845,1
testvideo,17760,18010,17885,1
testvideo,17800,18050,17925,1
testvideo,17840,18090,17965,2
testvideo,17880,18130,18005,2
testvideo,17920,18170,18045,2
testvideo,17960,18210,18085,2
testvideo,18000,18250,18125,2
testvideo,18040,18290,18165,2
testvideo,18080,18330,18205,2
testvideo,18120,18370,18245,2
testvideo,18160,18410,18285,2
testvideo,18200,18450,18325,2
testvideo,18240,18490,18365,2
testvideo,18280,18530,18405,2
testvideo,18320,18570,18445,2
testvideo,18360,18610,18485,2
testvideo,18400,18650,18525,2
testvideo,18440,18690,18565,0
testvideo,18480,18730,18605,0
testvideo,18520,18770,18645,0
testvideo,18560,18810,18685,0
testvideo,18600,18850,18725,0
testvideo,18640,18890,18765,0
testvideo,18680,18930,18805,0
testvideo,18720,18970,18845,0
testvideo,18760,19010,18885,0
testvideo,18800,19050,18925,0
testvideo,18840,19090,18965,0
testvideo,18880,19130,19005,0
testvideo,18920,19170,19045,0
testvideo,18960,19210,19085,0
testvideo,19000,19250,19125,0
testvideo,19040,19290,19165,0
testvideo,19080,19330,19205,0
testvideo,19120,19370,19245,0
testvideo,19160,19410,19285,0
testvideo,19200,19450,19325,0
testvideo,19240,19490,19365,0
testvideo,19280,19530,19405,0
testvideo,19320,19570,19445,0
testvideo,19360,19610,19485,0
testvideo,19400,19650,19525,0
testvideo,19440,19690,19565,0
testvideo,19480,19730,19605,0
testvideo,19520,19770,19645,0
testvideo,19560,19810,19685,0
testvideo,19600,19850,19725,0
testvideo,19640,19890,19765,0
testvideo,19680,19930,19805,0
testvideo,19720,19970,19845,0
testvideo,19760,20010,19885,0
testvideo,19800,20050,19925,0
testvideo,19840,20090,19965,0
testvideo,19880,20130,20005,0
testvideo,19920,20170,20045,0
testvideo,19960,20210,20085,0
testvideo,20000,20250,20125,0
testvideo,20040,20290,20165,0
testvideo,20080,20330,20205,0
testvideo,20120,20370,20245,0
testvideo,20160,20410,20285,0
testvideo,20200,20450,20325,0
testvideo,20240,20490,20365,0
testvideo,20280,20530,20405,0
testvideo,20320,20570,20445,0
testvideo,20360,20610,20485,0
testvideo,20400,20650,20525,0
testvideo,20440,20690,20565,0
testvideo,20480,20730,20605,0
testvideo,20520,20770,20645,0
testvideo,20560,20810,20685,0
testvideo,20600,20850,20725,0
testvideo,20640,20890,20765,0
testvideo,20680,20930,20805,0
testvideo,20720,20970,20845,0
testvideo,20760,21010,20885,0
testvideo,20800,21050,20925,0
testvideo,20840,21090,20965,0
testvideo,20880,21130,21005,0
testvideo,20920,21170,21045,0
testvideo,20960,21210,21085,1
testvideo,21000,21250,21125,1
testvideo,21040,21290,21165,1
testvideo,21080,21330,21205,1
testvideo,21120,21370,21245,1
testvideo,21160,21410,21285,1
testvideo,21200,21450,21325,1
testvideo,21240,21490,21365,1
testvideo,21280,21530,21405,1
testvideo,21320,21570,21445,1
testvideo,21360,21610,21485,1
testvideo,21400,21650,21525,1
testvideo,21440,21690,21565,1
testvideo,21480,21730,21605,1
testvideo,21520,21770,21645,1
testvideo,21560,21810,21685,2
testvideo,21600,21850,21725,2
testvideo,21640,21890,21765,2
testvideo,21680,21930,21805,2
testvideo,21720,21970,21845,2
testvideo,21760,22010,21885,2
testvideo,21800,22050,21925,2
testvideo,21840,22090,21965,2
testvideo,21880,22130,22005,2
testvideo,21920,22170,22045,2
testvideo,21960,22210,22085,2
testvideo,22000,22250,22125,2
testvideo,22040,22290,22165,2
testvideo,22080,22330,22205,2
testvideo,22120,22370,22245,2
testvideo,22160,22410,22285,0
testvideo,22200,22450,22325,0
testvideo,22240,22490,22365,0
testvideo,22280,22530,22405,0
testvideo,22320,22570,22445,0
testvideo,22360,22610,22485,0
testvideo,22400,22650,22525,0
testvideo,22440,22690,22565,0
testvideo,22480,22730,22605,0
testvideo,22520,22770,22645,0
testvideo,22560,22810,22685,0
testvideo,22600,22850,22725,0
testvideo,22640,22890,22765,0
testvideo,22680,22930,22805,0
testvideo,22720,22970,22845,0
testvideo,22760,23010,22885,0
testvideo,22800,23050,22925,0
testvideo,22840,23090,22965,0
testvideo,22880,23130,23005,0
testvideo,22920,23170,23045,0
testvideo,22960,23210,23085,0
testvideo,23000,23250,23125,0
testvideo,23040,23290,23165,0
testvideo,23080,23330,23205,0
testvideo,23120,23370,23245,0
testvideo,23160,23410,23285,0
testvideo,23200,23450,23325,0
testvideo,23240,23490,23365,0
testvideo,23280,23530,23405,0
testvideo,23320,23570,23445,0
testvideo,23360,23610,23485,0
testvideo,23400,23650,23525,0
testvideo,23440,23690,23565,0
testvideo,23480,23730,23605,0
testvideo,23520,23770,23645,0
testvideo,23560,23810,23685,0
testvideo,23600,23850,23725,0
testvideo,23640,23890,23765,0
testvideo,23680,23930,23805,0
testvideo,23720,23970,23845,0
testvideo,23760,24010,23885,0
testvideo,23800,24050,23925,0
testvideo,23840,24090,23965,0
testvideo,23880,24130,24005,0
testvideo,23920,24170,24045,0
testvideo,23960,24210,24085,0
testvideo,24000,24250,24125,0
testvideo,24040,24290,24165,0
testvideo,24080,24330,24205,0
testvideo,24120,24370,24245,0
testvideo,24160,24410,24285,0
testvideo,24200,24450,24325,0
testvideo,24240,24490,24365,0
testvideo,24280,24530,24405,0
testvideo,24320,24570,24445,0
testvideo,24360,24610,24485,0
testvideo,24400,24650,24525,0
testvideo,24440,24690,24565,1
testvideo,24480,24730,24605,1
testvideo,24520,24770,24645,1
testvideo,24560,24810,24685,1
testvideo,24600,24850,24725,1
testvideo,24640,24890,24765,1
testvideo,24680,24930,24805,1
testvideo,24720,24970,24845,1
testvideo,24760,25010,24885,1
testvideo,24800,25050,24925,1
testvideo,24840,25090,24965,1
testvideo,24880,25130,25005,1
testvideo,24920,25170,25045,1
testvideo,24960,25210,25085,1
testvideo,25000,25250,25125,2
testvideo,25040,25290,25165,2
